SN,Commodity,Date,Unit,Minimum,Maximum,Average
0,Tomato Big(Nepali),2013-06-16,Kg,35,40,37.5
2,Potato Red,2013-06-16,Kg,20,21,20.5
4,Onion Dry (Indian),2013-06-16,Kg,28,30,29
74,Tomato Big(Nepali),2013-06-17,Kg,25,30,27.5
76,Potato Red,2013-06-17,Kg,20,21,20.5
78,Onion Dry (Indian),2013-06-17,Kg,29,30,29.5
147,Tomato Big(Nepali),2013-06-18,Kg,25,30,27.5
149,Potato Red,2013-06-18,Kg,19,20,19.5
151,Onion Dry (Indian),2013-06-18,Kg,33,35,34
220,Tomato Big(Nepali),2013-06-19,Kg,25,30,27.5
222,Potato Red,2013-06-19,Kg,20,21,20.5
224,Onion Dry (Indian),2013-06-19,Kg,34,35,34.5
293,Tomato Big(Nepali),2013-06-20,Kg,25,30,27.5
295,Potato Red,2013-06-20,Kg,20,21,20.5
297,Onion Dry (Indian),2013-06-20,Kg,35,36,35.5
367,Tomato Big(Nepali),2013-06-21,Kg,25,30,27.5
369,Potato Red,2013-06-21,Kg,21,22,21.5
371,Onion Dry (Indian),2013-06-21,Kg,34,35,34.5
441,Tomato Big(Nepali),2013-06-25,Kg,30,35,32.5
443,Potato Red,2013-06-25,Kg,23,25,24
445,Onion Dry (Indian),2013-06-25,Kg,33,35,34
514,Tomato Big(Nepali),2013-06-26,Kg,30,35,32.5
516,Potato Red,2013-06-26,Kg,22,23,22.5
518,Onion Dry (Indian),2013-06-26,Kg,33,35,34
587,Tomato Big(Nepali),2013-06-27,Kg,30,35,32.5
589,Potato Red,2013-06-27,Kg,22,24,23
591,Onion Dry (Indian),2013-06-27,Kg,35,37,36
659,Tomato Big(Nepali),2013-06-28,Kg,30,35,32.5
661,Potato Red,2013-06-28,Kg,23,24,23.5
663,Onion Dry (Indian),2013-06-28,Kg,36,38,37
729,Tomato Big(Nepali),2013-06-30,Kg,25,30,27.5
731,Potato Red,2013-06-30,Kg,23,24,23.5
733,Onion Dry (Indian),2013-06-30,Kg,36,38,37
799,Tomato Big(Nepali),2013-07-01,Kg,25,30,27.5
801,Potato Red,2013-07-01,Kg,22,24,23
803,Onion Dry (Indian),2013-07-01,Kg,37,38,37.5
869,Tomato Big(Nepali),2013-07-02,Kg,30,35,32.5
871,Potato Red,2013-07-02,Kg,23,24,23.5
873,Onion Dry (Indian),2013-07-02,Kg,38,40,39
938,Tomato Big(Nepali),2013-07-03,Kg,30,35,32.5
940,Potato Red,2013-07-03,Kg,22,23,22.5
